16.85	0.124921
35.3	0.249909
52.1499	0.37483
73.0049	0.51234
91.4549	0.637327
111.53	0.824494
134.805	1.01179
163.7	1.24901
193.409	1.52354
211.874	1.68579
226.329	1.82304
239.974	1.9354
252.829	2.07258
265.684	2.20976
292.199	2.49657
312.288	2.72101
328.363	2.90801
349.258	3.1449
359.728	3.31924
383.027	3.56866
398.317	3.79289
410.387	3.9673
431.307	4.26631
453.036	4.59019
469.931	4.82691
487.645	5.11336
507.785	5.46202
534.359	5.8979
562.539	6.34627
587.523	6.80694
