3.94178	0.905087
8.67962	0.958816
12.2326	1.00061
16.9733	1.04235
22.3064	1.09006
27.0485	1.1258
34.7583	1.1674
42.4653	1.22098
49.5842	1.25062
56.7002	1.29224
65.5963	1.33978
74.4937	1.38132
83.9851	1.42283
94.0702	1.46431
107.12	1.52364
116.019	1.55918
133.817	1.63027
144.496	1.67173
149.835	1.69545
158.735	1.725
168.82	1.76648
182.467	1.81379
196.708	1.86107
212.727	1.92025
226.371	1.97955
237.051	2.01501
246.544	2.05053
256.038	2.08005
271.463	2.13926
312.404	2.28118
337.917	2.36988
355.718	2.42898
